NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
295	3.049	16.988	1.711	16.745	0.035	0.982	6000.0
296	2.48	13.481	1.195	11.763	0.037	0.99	20000.0
297	1.001	5.413	0.666	6.419	0.032	0.994	6000.0
298	1.499	7.95	0.77	6.721	0.024	0.996	6000.0
299	2.84	15.729	1.422	13.009	0.044	0.991	6000.0
300	1.53	8.275	0.789	7.598	0.034	0.995	17000.0
301	2.148	12.2	1.211	10.947	0.043	0.993	6000.0
302	2.002	11.13	1.066	9.392	0.038	0.994	6000.0
303	2.944	16.715	1.492	13.537	0.051	0.991	6000.0
304	2.665	14.744	1.334	12.433	0.038	0.992	6000.0
